scenario,cpu_speed,cpu_cores,cpu_threads,gpu_vram,ram_size,storage_space,psu_power,total_price,performance_score
Content Creation,3.1,4,4,12,64,2000,600,1469,21424.0
General Use,3.6,2,4,8,32,500,550,2251,2784.8
Home Office,4.4,12,24,8,8,2000,550,2474,10124.0
General Use,3.6,2,4,11,32,2000,1000,2592,10284.8
Workstation,3.3,6,12,8,64,2000,1050,1324,26620.0
Workstation,3.5,4,4,24,64,2000,600,1730,24340.0
Workstation,3.4,8,16,8,64,2000,850,2243,25650.0
Content Creation,3.5,6,12,8,32,250,650,1972,3276.0
Content Creation,3.7,4,8,8,32,1000,750,2413,10752.0
Content Creation,3.5,4,4,8,16,2000,1000,2678,20432.0
Workstation,3.6,6,12,6,64,1000,550,2155,14120.0
Home Office,3.6,4,8,8,32,500,750,2513,2856.0
Home Office,3.8,6,12,8,32,2000,1000,2619,10358.0
Home Office,3.6,2,4,3,64,1000,550,1694,5676.0
Content Creation,3.6,8,16,8,32,1000,1200,2100,10800.0
Workstation,3.4,6,12,8,16,1000,1200,2056,16410.0
General Use,3.6,4,8,4,32,2000,1000,2482,10284.8
Home Office,3.2,4,8,8,16,2000,850,2195,10192.0
General Use,3.4,6,12,8,32,1000,750,2679,5283.2
Workstation,3.4,8,16,8,32,2000,650,2182,24010.0
Workstation,3.6,6,12,10,32,1000,1000,2585,15730.0
Workstation,3.6,4,8,24,32,1000,1300,2649,17200.0
Content Creation,3.6,6,12,16,64,1000,1000,1807,11480.0
Content Creation,3.2,8,16,8,16,1000,650,1751,10480.0
Gaming,3.5,6,12,3,32,1000,850,2647,2332.5
Home Office,3.1,4,4,6,64,500,1000,1848,3171.0
Workstation,3.9,6,12,8,64,500,1200,2037,12370.0
Workstation,3.4,8,16,10,4,500,500,2183,7700.0
Workstation,3.6,4,8,8,64,2000,850,2774,25590.0
Content Creation,4.2,16,32,6,16,2000,550,1786,20560.0
Content Creation,3.4,8,16,12,32,2000,750,2159,20832.0
Home Office,3.6,4,8,8,32,1000,750,1814,5356.0
Workstation,3.7,4,8,4,32,500,1200,1913,11700.0
Content Creation,3.4,8,16,8,64,1000,850,1934,11440.0
General Use,3.6,8,16,12,64,1000,1000,1725,5540.8
Content Creation,3.1,4,4,8,16,1000,750,2463,10432.0
Home Office,3.6,4,8,4,64,1000,1000,2054,5676.0
Home Office,3.8,6,12,8,32,2000,550,1539,10358.0
Workstation,3.7,6,12,6,32,1000,850,2995,14980.0
Home Office,4.2,8,16,8,8,1000,850,2484,5122.0
Content Creation,3.1,4,4,20,16,500,600,2842,5528.0
Workstation,4.7,12,24,2,16,1000,400,1271,12500.0
Gaming,3.4,6,12,8,32,2000,500,2371,4431.0
Gaming,3.8,4,4,12,32,1000,850,2451,2497.0
Content Creation,3.2,8,16,12,32,2000,850,2776,20832.0
Content Creation,3.5,4,4,24,32,1000,1000,2754,10880.0
General Use,3.6,2,4,8,16,1000,750,1505,5156.8
General Use,3.2,8,16,8,32,2000,650,2471,10281.6
Workstation,3.6,12,24,8,8,1000,1000,2338,15340.0
General Use,3.6,4,8,8,8,2000,850,2522,10092.8
Gaming,3.4,8,16,16,16,1000,750,2083,2531.0
General Use,3.2,4,8,8,16,500,850,2021,2653.6
General Use,3.4,8,16,8,32,2000,600,2238,10283.2
Workstation,3.1,4,4,6,32,1000,450,1258,12950.0
Home Office,3.4,8,16,3,64,500,750,2810,3174.0
General Use,3.6,12,24,8,8,500,850,2270,2592.8
General Use,3.4,8,16,10,16,2000,1200,2777,10155.2
Workstation,3.6,4,8,16,64,2000,850,2055,25590.0
Workstation,4.2,8,16,8,64,250,600,1752,6900.0
Content Creation,3.6,6,12,8,32,2000,850,2258,20776.0
Workstation,4.4,12,24,8,96,2000,1000,2803,27100.0
General Use,3.8,6,12,4,16,2000,550,2606,10158.4
General Use,3.4,8,16,12,256,1000,750,1493,7075.2
Content Creation,3.6,6,12,24,16,2000,1050,1585,20584.0
Gaming,4.5,8,16,16,16,1000,1000,2254,2547.5
General Use,3.0,8,16,8,16,1000,1200,2545,5152.0
Gaming,3.4,6,12,8,16,1000,650,2774,2351.0
General Use,3.4,8,16,8,128,1000,850,2180,6051.2
Workstation,3.4,6,12,8,32,2000,850,2838,24980.0
Home Office,3.5,6,12,11,32,1000,600,1847,5355.0
Gaming,4.7,6,12,8,128,2000,850,1384,4930.5
Gaming,3.6,4,8,12,8,1000,850,1682,2374.0
General Use,4.7,6,12,6,32,250,1200,1464,1543.6
Workstation,3.6,6,12,2,16,500,1200,2413,11410.0
Workstation,3.4,8,16,8,32,2000,500,1860,23260.0
Gaming,4.5,16,32,6,64,1000,1000,1220,2667.5
Gaming,3.5,4,4,11,96,1000,850,2755,2792.5
Home Office,3.7,8,16,10,16,2000,750,2651,10197.0
Workstation,3.6,8,16,12,8,2000,1200,2535,26280.0
Content Creation,3.5,4,8,4,32,2000,800,1750,20720.0
General Use,3.8,8,16,8,64,1000,650,1478,5542.4
Workstation,3.4,8,16,12,32,1000,850,2379,15010.0
Content Creation,3.8,4,4,8,32,1000,650,1981,10752.0
General Use,3.9,6,12,8,32,500,600,1952,2787.2
General Use,3.7,4,8,8,16,2000,1100,2382,10157.6
Gaming,3.5,6,12,8,16,250,650,2510,852.5
Workstation,3.6,8,16,8,16,1000,850,2762,14690.0
Content Creation,3.5,4,4,8,32,1000,600,1872,10752.0
Gaming,3.6,4,8,8,128,2000,750,2216,4894.0
Gaming,3.6,8,16,8,64,1000,1200,2272,2614.0
General Use,3.6,8,16,24,64,2000,1000,1680,10540.8
Gaming,3.7,8,16,8,32,1000,550,1488,2455.5
Gaming,3.7,6,12,12,8,1000,750,3353,2395.5
Gaming,3.4,8,16,6,64,500,750,2210,1571.0
Gaming,3.3,6,12,8,32,1000,700,2506,2429.5
Home Office,4.5,8,16,24,32,1000,650,1660,5365.0
Home Office,3.0,8,16,8,8,2000,850,2740,10110.0
Content Creation,3.1,4,4,4,32,1000,650,1935,10720.0
Gaming,3.2,4,8,16,32,1000,850,2097,2568.0
Gaming,3.4,8,16,16,16,1000,650,2317,2531.0
Content Creation,3.8,6,12,8,32,2000,500,2573,20776.0
Home Office,3.2,8,16,16,64,2000,750,1553,10672.0
General Use,3.6,6,12,8,8,1000,450,2052,5092.8
General Use,3.2,8,16,16,32,500,650,2367,2781.6
General Use,3.5,6,12,4,16,250,450,2598,1406.0
Gaming,3.4,8,16,16,32,500,500,1776,1611.0
Content Creation,3.6,8,16,16,16,2000,650,1629,20544.0
General Use,3.7,4,8,3,32,2000,600,1965,10285.6
Workstation,3.2,4,8,8,256,500,600,1735,13180.0
Content Creation,3.6,8,16,8,64,2000,650,2090,21440.0
Content Creation,3.6,4,8,8,16,1000,500,1290,10432.0
Gaming,3.4,8,16,12,8,500,500,1912,1411.0
Gaming,3.6,8,16,8,64,2000,500,2801,4614.0
Content Creation,3.6,8,16,12,64,250,1200,3147,3972.0
General Use,3.8,4,4,8,64,1000,1000,1739,5542.4
Gaming,4.2,8,16,8,16,2000,850,2636,4383.0
Workstation,3.2,8,16,24,32,1000,650,2680,14010.0
Workstation,3.7,8,16,8,32,2000,750,2687,24510.0
Content Creation,3.8,8,16,6,8,500,650,1930,5304.0
General Use,3.8,6,12,6,32,500,600,2242,2786.4
General Use,4.7,6,12,8,16,2000,700,1556,10165.6
Workstation,4.5,8,16,8,16,500,1000,1818,10440.0
General Use,3.4,8,16,4,16,1000,850,2381,5155.2
Gaming,3.6,4,8,8,32,2000,550,2717,4414.0
Content Creation,4.2,8,16,8,32,1000,600,2187,10800.0
General Use,3.6,4,8,8,32,2000,650,1987,10284.8
Gaming,3.4,8,16,8,32,250,750,2163,951.0
Workstation,3.6,6,12,8,256,1000,650,2166,18460.0
Workstation,3.6,6,12,8,64,1000,550,2480,14120.0
Home Office,3.6,8,16,8,32,1000,1600,2958,5356.0
Workstation,3.4,8,16,12,32,500,600,1517,8760.0
Home Office,3.3,6,12,24,8,1000,750,1409,5113.0
General Use,3.1,4,4,8,16,1000,850,3090,5152.8
Gaming,3.5,4,8,8,16,2000,1000,1556,4332.5
Content Creation,3.6,6,12,8,16,1000,750,2301,10456.0
Workstation,3.1,4,4,8,32,500,550,2935,8450.0
Content Creation,3.6,6,12,8,8,250,750,1976,2796.0
Gaming,3.4,8,16,6,32,2000,850,2362,4411.0
Home Office,3.6,8,16,8,32,1000,700,2469,5356.0
General Use,3.9,6,12,11,32,2000,650,1984,10287.2
Home Office,3.1,4,4,8,16,1000,750,3000,5191.0
Home Office,3.4,6,12,8,32,2000,700,2856,10354.0
General Use,3.2,4,8,8,64,1000,650,2505,5537.6
Workstation,3.7,12,24,6,64,500,850,992,10710.0
Workstation,3.8,8,16,10,16,250,650,1958,6190.0
General Use,3.5,6,12,11,16,1000,1000,2375,5156.0
Content Creation,3.5,4,4,16,16,500,1000,1701,5496.0
Content Creation,3.4,8,16,4,8,1000,750,1694,10288.0
Home Office,3.7,8,16,11,96,1000,750,1278,5997.0
Gaming,3.3,6,12,8,16,2000,400,2528,4349.5
Gaming,3.5,4,4,16,64,1000,550,1937,2732.5
Gaming,3.9,6,12,8,32,1000,1250,1924,2438.5
General Use,3.2,4,8,8,32,1000,550,2550,5281.6
Workstation,3.8,6,12,24,32,500,600,2132,8730.0
Home Office,3.7,4,8,24,64,2000,850,2396,10677.0
Home Office,3.8,8,16,12,32,500,500,2154,2858.0
Home Office,3.6,8,16,8,64,1000,1000,2365,5676.0
Content Creation,3.2,4,8,8,16,1000,700,2560,10432.0
General Use,3.6,4,8,12,16,1000,750,2461,5156.8
Content Creation,3.9,6,12,8,32,1000,600,1273,10776.0
General Use,3.6,4,8,8,16,2000,650,2246,10156.8
Home Office,3.8,8,16,8,32,500,850,2553,2858.0
Gaming,3.8,8,16,8,64,2000,1500,1379,4617.0
Workstation,3.5,4,4,8,32,1000,650,1903,13950.0
General Use,3.4,8,16,12,64,500,750,2276,3039.2
Home Office,3.6,2,4,8,64,1000,1200,2094,5676.0
Content Creation,3.7,8,16,24,16,2000,1000,1566,20608.0
General Use,3.2,4,8,8,32,1000,750,2125,5281.6
Gaming,3.2,4,8,2,32,2000,600,1771,4288.0
Content Creation,3.7,6,12,8,16,2000,750,2459,20456.0
Workstation,3.3,6,12,8,16,2000,850,1957,24660.0
Workstation,3.6,6,12,8,32,2000,1000,1803,25730.0
Gaming,3.2,8,16,12,32,1000,400,2418,2528.0
Home Office,3.6,4,8,11,32,1000,1250,2097,5356.0
General Use,3.9,6,12,10,32,2000,1800,1941,10287.2
Home Office,3.5,4,4,11,64,1000,1000,2528,5675.0
Workstation,3.4,8,16,12,32,2000,600,1686,23760.0
Gaming,3.2,4,8,8,16,250,500,1104,828.0
Workstation,3.8,8,16,6,32,1000,850,3047,15010.0
Workstation,3.7,8,16,10,32,1000,600,2539,13760.0
Workstation,3.7,8,16,12,8,1000,1050,1383,15530.0
Gaming,3.7,6,12,8,64,1000,700,2458,2595.5
Home Office,3.6,4,8,6,32,1000,650,1691,5356.0
Workstation,3.7,8,16,4,64,1000,1000,2670,16400.0
Workstation,3.4,8,16,8,16,1000,650,1935,13690.0
Gaming,3.6,4,8,8,32,1000,1800,2072,2414.0
Workstation,3.6,2,4,8,8,1000,450,2936,12440.0
Home Office,4.2,8,16,24,32,250,1000,1808,1612.0
Content Creation,3.6,6,12,2,32,1000,550,2058,10728.0
Home Office,3.6,4,8,2,64,2000,600,2738,10676.0
Workstation,3.6,6,12,11,16,2000,700,1765,23910.0
Home Office,3.2,4,8,6,64,2000,1000,1804,10672.0
Content Creation,3.3,6,12,8,16,2000,600,2083,20456.0
General Use,3.7,6,12,12,32,500,750,2338,2785.6
General Use,3.7,8,16,8,32,2000,650,2242,10285.6
Gaming,3.6,4,8,8,32,1000,1050,1622,2414.0
Gaming,3.8,4,4,12,64,1000,550,1622,2657.0
Content Creation,3.6,6,12,8,32,1000,400,2648,10776.0
Home Office,3.6,8,16,8,32,2000,850,2152,10356.0
Content Creation,3.6,6,12,8,8,500,700,1659,5296.0
General Use,3.6,4,8,12,32,1000,750,2572,5284.8
Content Creation,3.5,4,4,24,32,500,1250,1764,5880.0
General Use,3.4,8,16,8,32,2000,650,1946,10283.2
General Use,3.5,4,8,16,16,1000,600,1442,5156.0
Home Office,3.4,8,16,8,64,1000,500,2196,5674.0
Content Creation,3.2,8,16,12,32,2000,900,1618,20832.0
General Use,3.8,8,16,10,16,250,850,1992,1408.4
Gaming,3.8,8,16,8,16,1000,750,1836,2377.0
Gaming,3.2,4,8,12,16,1000,650,2851,2408.0
Content Creation,3.5,4,4,8,32,1000,1250,2781,10752.0
Workstation,3.6,4,8,2,32,1000,500,1731,13200.0
Gaming,3.6,4,8,24,64,500,600,1539,1894.0
Gaming,3.2,4,8,16,96,2000,850,2001,4888.0
Workstation,3.6,4,8,8,32,250,450,1486,5450.0
Workstation,3.4,8,16,20,16,1000,1000,2851,15440.0
Gaming,3.7,4,8,8,32,500,550,2442,1415.5
General Use,3.6,8,16,12,16,1000,650,2247,5156.8
Content Creation,3.7,6,12,16,32,1000,600,2764,10840.0
Content Creation,3.6,6,12,8,32,500,850,1769,5776.0
Gaming,3.2,8,16,2,64,2000,1000,2325,4488.0
Gaming,3.1,4,4,8,32,1000,1500,2045,2406.5
Home Office,3.8,8,16,12,32,1000,1000,1457,5358.0
Gaming,3.2,8,16,24,32,1000,750,2372,2768.0
Workstation,3.7,8,16,16,32,2000,1000,2381,25760.0
Home Office,3.6,8,16,6,32,1000,500,2506,5356.0
Gaming,3.7,6,12,12,32,2000,750,2039,4515.5
Workstation,3.6,8,16,8,16,500,650,1879,8690.0
General Use,4.2,8,16,8,32,1000,600,2468,5289.6
General Use,3.2,8,16,8,16,2000,1300,2045,10153.6
Home Office,3.6,6,12,12,32,1000,750,2260,5356.0
Gaming,3.6,6,12,4,16,250,700,2145,774.0
Home Office,3.6,4,8,11,64,1000,400,1581,5676.0
Content Creation,4.4,12,24,12,32,2000,650,2540,20880.0
Home Office,3.7,8,16,2,32,1000,700,1651,5357.0
Gaming,3.4,8,16,8,32,250,600,1627,951.0
Home Office,3.2,8,16,11,32,2000,550,2411,10352.0
Home Office,3.2,4,8,10,64,2000,550,1503,10672.0
Gaming,3.5,4,4,8,16,1000,650,2698,2332.5
Content Creation,3.4,8,16,8,16,1000,750,2750,10480.0
Home Office,3.3,6,12,16,32,1000,650,1831,5353.0
Gaming,3.5,4,4,8,32,250,700,1764,912.5
Workstation,3.6,2,4,8,16,1000,950,1578,15100.0
General Use,3.8,4,4,4,64,2000,500,1734,10542.4
Gaming,3.4,8,16,16,16,2000,1000,2114,4531.0
Workstation,3.0,8,16,8,16,1000,550,2296,13190.0
Workstation,3.8,8,16,3,32,2000,500,1718,23260.0
Workstation,3.5,4,4,8,32,1000,850,2624,14950.0
Home Office,3.4,8,16,8,32,2000,400,1444,10354.0
Workstation,3.7,6,12,4,64,1000,850,2902,15620.0
Workstation,3.7,6,12,8,8,1000,550,1711,13000.0
Home Office,3.2,8,16,3,64,2000,650,2772,10672.0
General Use,3.3,6,12,10,32,1000,500,2233,5282.4
Gaming,3.6,2,4,8,16,1000,1000,2407,2314.0
Home Office,3.8,4,4,8,8,2000,1300,2364,10118.0
General Use,3.4,8,16,6,64,500,850,1900,3039.2
Workstation,3.6,4,8,8,32,500,750,1886,9450.0
Gaming,3.2,4,8,4,64,2000,750,2591,4488.0
Home Office,3.5,4,8,8,8,2000,1300,1745,10115.0
Workstation,3.6,4,8,6,64,2000,1000,1702,26340.0
Content Creation,3.8,4,4,12,8,1000,1000,2119,10304.0
Gaming,3.4,8,16,6,16,1000,650,1878,2331.0
Workstation,3.5,4,4,8,16,2000,550,1922,23130.0
Workstation,3.6,4,8,8,16,2000,650,2676,23630.0
Workstation,3.6,4,8,10,32,500,500,1890,8200.0
Gaming,3.4,8,16,8,32,500,650,2102,1451.0
Home Office,3.9,6,12,6,8,500,650,2094,2619.0
Workstation,3.5,4,4,16,32,500,750,2444,9450.0
Content Creation,3.6,4,8,12,32,250,850,2338,3284.0
Content Creation,3.7,8,16,8,128,1000,900,2197,12720.0
Home Office,3.7,6,12,11,128,500,1000,1527,3817.0
General Use,3.4,8,16,8,32,2000,650,2881,10283.2
Workstation,3.8,8,16,8,64,2000,600,2214,24400.0
Gaming,3.2,8,16,11,128,1000,850,1992,2988.0
Content Creation,3.5,4,8,24,16,1000,850,1966,10560.0
Workstation,3.5,4,4,2,64,1000,650,2273,14590.0
Content Creation,3.4,8,16,8,64,250,650,1413,3940.0
Gaming,3.6,2,4,8,16,500,750,1574,1314.0
Workstation,3.6,6,12,12,16,2000,650,2123,23660.0
Workstation,3.4,8,16,6,16,1000,650,2159,13690.0
Workstation,3.4,8,16,4,32,1000,750,2910,14510.0
Gaming,3.2,4,8,12,16,500,750,2280,1408.0
General Use,3.7,8,16,2,16,250,650,2635,1407.6
Gaming,3.6,8,16,10,8,1000,850,2184,2374.0
Content Creation,3.7,6,12,8,16,500,1200,1492,5456.0
General Use,3.6,4,8,16,32,500,650,2062,2784.8
General Use,3.8,4,4,11,32,250,750,1706,1536.4
Home Office,3.7,8,16,16,32,250,500,2647,1607.0
Gaming,3.5,4,4,20,64,1000,750,2236,2812.5
Content Creation,3.1,4,4,8,8,1000,850,1739,10272.0
Gaming,3.4,8,16,4,32,500,1000,2997,1371.0
General Use,3.9,6,12,8,16,1000,700,1433,5159.2
General Use,3.4,6,12,10,32,1000,850,1915,5283.2
Content Creation,3.7,4,8,20,32,500,600,2263,5848.0
Content Creation,3.5,4,8,8,8,1000,650,2004,10272.0
Home Office,3.2,8,16,24,32,1000,1200,2342,5352.0
Content Creation,3.4,6,12,8,64,2000,650,1861,21416.0
Gaming,3.5,4,8,8,32,1000,1250,2287,2412.5
Gaming,4.7,12,24,8,32,2000,1000,1847,4510.5
Gaming,3.6,2,4,8,32,500,500,1492,1394.0
Home Office,3.7,6,12,8,16,2000,450,2522,10197.0
Workstation,3.2,4,8,6,16,1000,750,1840,14130.0
Home Office,3.6,6,12,24,64,250,850,2112,1926.0
Home Office,3.6,4,8,6,32,1000,500,2003,5356.0
Home Office,3.5,4,4,6,32,1000,650,1410,5355.0
General Use,3.8,6,12,12,16,500,500,1657,2658.4
Workstation,3.6,8,16,8,32,2000,700,1784,24260.0
Content Creation,3.7,4,8,12,16,500,400,1889,5464.0
Workstation,3.5,6,12,6,16,2000,1000,2941,25410.0
Content Creation,3.6,2,4,12,64,1000,1000,2388,11400.0
Home Office,3.6,6,12,12,16,2000,700,1985,10196.0
Gaming,3.4,8,16,20,32,1000,1000,1722,2691.0
Content Creation,3.4,8,16,12,32,2000,1000,1721,20832.0
Workstation,3.6,8,16,16,16,2000,500,2251,22940.0
Workstation,3.6,4,8,3,64,2000,750,2424,25090.0
General Use,3.8,8,16,16,8,500,400,2286,2594.4
Home Office,3.7,8,16,12,64,1000,550,2369,5677.0
Gaming,3.7,4,8,6,64,500,1000,2262,1535.5
General Use,3.8,8,16,8,16,2000,650,2463,10158.4
Content Creation,3.5,4,4,12,32,1000,700,1898,10784.0
Workstation,4.2,16,32,8,64,250,650,2242,7270.0
Content Creation,3.6,6,12,6,32,1000,650,2742,10760.0
Content Creation,3.6,4,8,8,128,1000,1600,2099,12672.0
Workstation,3.8,8,16,4,16,500,600,1846,8440.0
Home Office,3.2,8,16,6,16,1000,550,1916,5192.0
General Use,3.6,6,12,8,8,1000,1000,1759,5092.8
Home Office,3.6,6,12,8,16,2000,600,2537,10196.0
Gaming,3.6,8,16,8,32,1000,500,2440,2454.0
Home Office,3.5,4,4,12,64,500,450,1604,3175.0
General Use,3.8,4,4,8,64,2000,650,2397,10542.4
Gaming,3.6,2,4,8,32,500,650,1768,1394.0
Content Creation,3.1,4,4,6,64,1000,650,1930,11376.0
Content Creation,3.6,8,16,8,32,2000,500,2679,20800.0
Workstation,3.4,8,16,6,128,1000,750,2453,16430.0
Gaming,3.2,4,8,24,64,500,1050,2178,1888.0
General Use,3.4,8,16,11,8,500,450,1529,2591.2
Content Creation,3.5,4,8,8,64,1000,650,2100,11392.0
Content Creation,3.6,12,24,8,32,2000,650,1619,20848.0
Home Office,3.4,8,16,11,32,2000,550,2412,10354.0
Home Office,3.6,6,12,16,8,1000,500,2406,5116.0
Gaming,3.6,4,8,8,32,250,750,1676,914.0
Content Creation,3.1,4,4,16,16,2000,550,2559,20496.0
Home Office,3.7,8,16,8,8,2000,850,1409,10117.0
Home Office,3.6,6,12,11,16,500,700,1528,2696.0
Workstation,3.1,4,4,4,32,1000,950,2469,15450.0
Workstation,3.4,8,16,8,32,500,1500,1356,13260.0
Home Office,3.6,6,12,4,64,2000,750,2178,10676.0
Content Creation,3.2,4,8,8,16,2000,650,2337,20432.0
General Use,3.9,6,12,8,64,1000,650,1365,5543.2
Home Office,3.2,4,8,16,64,1000,750,2142,5672.0
Gaming,3.6,6,12,8,8,2000,750,1718,4314.0
Home Office,3.6,6,12,8,16,2000,450,2212,10196.0
General Use,3.7,8,16,8,128,500,550,2038,3553.6
General Use,3.7,6,12,8,64,1000,650,2627,5541.6
Gaming,3.7,8,16,2,32,1000,1000,2322,2335.5
Workstation,3.7,4,8,16,32,1000,500,2869,13200.0
Gaming,3.6,6,12,8,32,2000,550,2355,4434.0
Gaming,3.6,8,16,8,16,500,500,2669,1374.0
General Use,3.7,6,12,16,32,1000,750,1985,5285.6
Content Creation,3.5,4,4,6,64,1000,850,1893,11376.0
General Use,3.6,4,8,2,32,1000,1050,2030,5284.8
General Use,3.2,8,16,6,64,1000,500,2842,5537.6
Workstation,3.7,8,16,8,32,1000,650,3142,14010.0
General Use,3.6,4,8,8,64,2000,850,2026,10540.8
Home Office,3.8,8,16,8,48,2000,750,1725,10518.0
Home Office,3.6,4,8,8,32,2000,600,2261,10356.0
Gaming,3.4,6,12,2,16,2000,750,1614,4231.0
Home Office,3.6,6,12,8,32,1000,750,2036,5356.0
Home Office,3.4,8,16,11,16,250,550,2924,1444.0
Workstation,3.5,4,4,16,32,1000,400,2247,12700.0
Content Creation,3.1,4,4,6,64,1000,1000,1606,11376.0
Workstation,3.2,8,16,8,64,1000,850,2162,15650.0
Gaming,3.6,8,16,12,16,1000,1200,2632,2454.0
Content Creation,3.6,4,8,6,32,2000,750,2104,20736.0
Home Office,3.6,6,12,8,32,2000,2000,2240,10356.0
Content Creation,3.1,4,4,8,32,2000,750,2607,20752.0
Content Creation,3.5,4,4,4,64,1000,1300,2105,11360.0
Workstation,3.2,8,16,8,32,500,650,1725,9010.0
Content Creation,3.6,2,4,8,16,2000,550,2720,20408.0
Gaming,3.6,4,8,8,32,2000,1200,2551,4414.0
Home Office,3.8,4,4,4,32,2000,550,2379,10358.0
Gaming,3.0,8,16,8,32,500,600,2434,1445.0
General Use,3.1,4,4,8,32,1000,1600,2611,5280.8
Gaming,4.4,12,24,8,32,2000,1200,2207,4506.0
General Use,3.2,4,8,8,32,2000,1000,1775,10281.6
General Use,3.6,4,8,8,16,2000,700,2469,10156.8
Content Creation,3.8,8,16,8,32,2000,650,1828,20800.0
Workstation,3.9,6,12,10,32,1000,650,2428,13980.0
Content Creation,3.7,4,8,24,32,500,550,2643,5880.0
Content Creation,3.5,4,8,8,4,1000,850,1435,10192.0
Content Creation,3.6,8,16,12,16,250,1000,1336,3012.0
Gaming,3.8,4,4,6,64,1000,450,2213,2537.0
Content Creation,3.4,8,16,2,64,2000,1050,1596,21392.0
Gaming,3.6,6,12,8,128,1000,550,2427,2914.0
Gaming,3.2,4,8,4,16,500,750,1985,1248.0
Workstation,3.9,6,12,11,16,2000,700,1728,23910.0
Content Creation,3.3,6,12,8,16,2000,650,1766,20456.0
Home Office,3.6,6,12,8,16,1000,650,1516,5196.0
Gaming,3.9,6,12,12,32,1000,1200,2050,2518.5
Home Office,3.1,4,4,8,8,1000,650,1727,5111.0
Workstation,3.2,4,8,16,64,500,650,2403,9590.0
Content Creation,3.8,8,16,8,16,250,650,2158,2980.0
Workstation,3.2,8,16,12,64,250,550,1826,6650.0
Workstation,3.7,4,8,12,64,1000,850,2488,15590.0
Home Office,3.2,4,8,8,32,1000,850,2249,5352.0
General Use,3.6,6,12,8,32,1000,850,1783,5284.8
General Use,3.5,4,4,24,16,2000,650,1489,10156.0
Gaming,3.4,8,16,6,32,500,850,2505,1411.0
Home Office,3.6,8,16,24,8,2000,600,1498,10116.0
Content Creation,3.6,4,8,16,16,1000,550,2219,10496.0
Workstation,3.6,4,8,8,32,250,800,2071,7200.0
Workstation,3.1,4,4,12,32,1000,550,2098,13450.0
Gaming,3.7,8,16,8,16,2000,400,2152,4375.5
General Use,3.7,6,12,8,128,1000,1200,1848,6053.6
Home Office,3.1,4,4,16,128,2000,650,2551,11311.0
General Use,3.6,8,16,10,96,1000,850,2692,5796.8
Workstation,3.4,8,16,24,64,1000,700,2846,14900.0
Home Office,3.5,4,4,20,16,2000,600,2179,10195.0
Content Creation,3.2,4,8,11,16,1000,650,1919,10456.0
Workstation,3.4,8,16,8,16,1000,1000,1938,15440.0
Workstation,3.0,8,16,8,64,250,650,2409,7150.0
Home Office,3.5,6,12,8,16,2000,550,2282,10195.0
General Use,3.6,4,8,11,16,2000,750,2429,10156.8
Gaming,3.5,6,12,24,64,1000,550,2362,2912.5
Workstation,3.7,6,12,8,32,2000,1000,2237,25730.0
Home Office,3.6,8,16,4,32,250,1000,1581,1606.0
Gaming,3.5,4,4,8,8,250,1200,1661,792.5
Gaming,3.4,8,16,8,32,500,1000,2807,1451.0
Gaming,4.5,16,32,12,32,500,550,2161,1627.5
Home Office,3.5,4,4,8,64,1000,750,1925,5675.0
Workstation,3.6,4,8,8,64,2000,850,1999,25590.0
General Use,3.7,8,16,16,16,1000,1000,2458,5157.6
Workstation,3.8,4,4,20,16,2000,700,1916,23880.0
Content Creation,3.2,4,8,8,16,1000,600,2535,10432.0
Gaming,3.6,2,4,11,16,500,850,1768,1374.0
General Use,3.5,4,4,12,8,1000,1250,1403,5092.0
Gaming,3.2,8,16,8,16,250,850,1500,868.0
Gaming,3.5,6,12,8,32,1000,500,1714,2432.5
Home Office,3.2,4,8,8,64,2000,1050,1762,10672.0
Content Creation,3.5,4,8,24,32,1000,1550,1972,10880.0
Workstation,3.1,4,4,8,256,1000,850,1906,19430.0
Content Creation,3.1,4,4,8,16,1000,750,2056,10432.0
Home Office,3.6,6,12,4,16,2000,900,2405,10196.0
Gaming,3.8,4,4,11,16,2000,650,2258,4397.0
Workstation,3.7,6,12,8,32,1000,750,2212,14480.0
General Use,3.2,4,8,11,16,1000,750,1603,5153.6
Gaming,3.7,8,16,6,32,1000,450,1130,2415.5
Home Office,3.0,8,16,8,16,500,500,2196,2690.0
Gaming,3.2,4,8,4,32,2000,950,1384,4328.0
General Use,3.6,4,8,12,32,2000,650,2169,10284.8
Gaming,3.7,6,12,6,64,2000,850,2055,4555.5
General Use,3.6,4,8,4,32,1000,650,2633,5284.8
Gaming,3.6,8,16,16,16,2000,1050,2755,4534.0
Gaming,3.4,6,12,12,16,1000,750,2119,2431.0
General Use,3.1,4,4,10,32,1000,750,1891,5280.8
Gaming,3.1,4,4,8,32,500,800,2428,1406.5
Gaming,3.3,6,12,8,16,250,1200,1807,849.5
Gaming,3.5,4,4,12,32,500,1100,1722,1492.5
Workstation,3.6,6,12,8,16,1000,500,2056,12910.0
Workstation,3.2,4,8,12,32,1000,600,2009,13700.0
Content Creation,3.5,4,4,11,32,1000,700,2637,10776.0
Content Creation,3.2,4,8,8,16,500,2000,1407,5432.0
Gaming,3.1,4,4,8,32,2000,450,2030,4406.5
Gaming,3.6,6,12,16,16,1000,1000,1396,2514.0
Home Office,3.6,2,4,8,16,1000,1000,1642,5196.0
Workstation,3.6,12,24,12,16,1000,750,3056,14250.0
